02:24:19,301 main INFO Loading fonts.
02:24:19,302 main INFO Loading sound files.
02:24:19,358 main INFO Loading textures.
02:24:19,378 main INFO Creating UI.
02:24:19,379 main DEBUG Showing main menu.
02:24:19,379 main DEBUG Clearing old menu screen.
02:24:19,379 main DEBUG No main menu to clear
02:24:21,470 main DEBUG Playing sound 'click'
02:24:22,714 main DEBUG Playing sound 'click'
02:24:22,870 main INFO Starting a new game.
02:24:22,871 main DEBUG Load screen.
02:24:22,879 main DEBUG Removing old particle system.
02:24:22,879 main DEBUG 'GameWindow' object has no attribute 'flame_emitter_group'
02:24:22,980 main DEBUG Removing obstacles from game grid.
02:24:23,158 main DEBUG generating new grid
02:24:23,162 main DEBUG removed 129 grid points for towers
02:24:23,162 main DEBUG removed 127 grid points for no walk
02:24:23,255 main DEBUG Pathfinding successful!
02:24:23,255 main DEBUG Steps: 23
02:24:26,577 main DEBUG Towers: 1
02:24:26,578 main DEBUG generating new grid
02:24:26,581 main DEBUG removed 130 grid points for towers
02:24:26,581 main DEBUG removed 127 grid points for no walk
02:24:26,667 main DEBUG Pathfinding successful!
02:24:26,667 main DEBUG Steps: 24
02:24:26,667 main DEBUG New path for grid: True
02:24:26,667 main DEBUG Tower placed at [2,11]
02:24:30,459 main DEBUG Towers: 2
02:24:30,460 main DEBUG generating new grid
02:24:30,464 main DEBUG removed 131 grid points for towers
02:24:30,464 main DEBUG removed 127 grid points for no walk
02:24:30,549 main DEBUG Pathfinding successful!
02:24:30,549 main DEBUG Steps: 25
02:24:30,550 main DEBUG New path for grid: True
02:24:30,550 main DEBUG Tower placed at [2,12]
02:24:33,177 main INFO AI current gold: 2
02:24:33,329 main DEBUG Spawning mob ID0: 14.0hp, 1.0spd
02:24:33,329 main DEBUG Spawning mob ID1: 35.0hp, 0.9spd
02:24:33,330 main DEBUG Spawning mob ID2: 180.0hp, 0.6spd
02:24:33,330 main DEBUG Spawning mob ID3: 80.0hp, 1.8spd
02:24:33,331 main DEBUG Spawning mob ID4: 300.0hp, 0.9spd
02:24:33,331 main DEBUG Spawning mob ID5: 300.0hp, 1.25spd
02:24:33,332 main DEBUG Spawning mob ID6: 400.0hp, 1.0spd
02:24:33,332 main DEBUG Generating flying path
02:24:33,487 main DEBUG Pathfinding successful!
02:24:33,487 main DEBUG Steps: 19
02:24:33,487 main DEBUG Spawning mob ID7: 120.0hp, 0.9spd
02:24:33,488 main DEBUG Spawning mob ID8: 900.0hp, 0.5spd
02:24:33,488 main DEBUG Spawning mob ID9: 800.0hp, 0.8spd
02:24:33,488 main DEBUG Spawning mob ID10: 900.0hp, 1.0spd
02:24:33,489 main DEBUG Spawning mob ID11: 2000.0hp, 0.5spd
02:24:33,593 main DEBUG Spawning mob ID12: 14.0hp, 1.0spd
02:24:33,594 main DEBUG Spawning mob ID13: 35.0hp, 0.9spd
02:24:33,594 main DEBUG Spawning mob ID14: 180.0hp, 0.6spd
02:24:33,595 main DEBUG Spawning mob ID15: 80.0hp, 1.8spd
02:24:33,595 main DEBUG Spawning mob ID16: 300.0hp, 0.9spd
02:24:33,596 main DEBUG Spawning mob ID17: 300.0hp, 1.25spd
02:24:33,596 main DEBUG Spawning mob ID18: 400.0hp, 1.0spd
02:24:33,597 main DEBUG Spawning mob ID19: 120.0hp, 0.9spd
02:24:33,597 main DEBUG Spawning mob ID20: 900.0hp, 0.5spd
02:24:33,597 main DEBUG Spawning mob ID21: 800.0hp, 0.8spd
02:24:33,598 main DEBUG Spawning mob ID22: 900.0hp, 1.0spd
02:24:33,598 main DEBUG Spawning mob ID23: 2000.0hp, 0.5spd
02:24:33,852 main DEBUG Spawning mob ID24: 14.0hp, 1.0spd
02:24:33,853 main DEBUG Spawning mob ID25: 35.0hp, 0.9spd
02:24:33,854 main DEBUG Spawning mob ID26: 180.0hp, 0.6spd
02:24:33,854 main DEBUG Spawning mob ID27: 80.0hp, 1.8spd
02:24:33,855 main DEBUG Spawning mob ID28: 300.0hp, 0.9spd
02:24:33,855 main DEBUG Spawning mob ID29: 300.0hp, 1.25spd
02:24:33,856 main DEBUG Spawning mob ID30: 400.0hp, 1.0spd
02:24:33,856 main DEBUG Spawning mob ID31: 120.0hp, 0.9spd
02:24:33,856 main DEBUG Spawning mob ID32: 900.0hp, 0.5spd
02:24:33,857 main DEBUG Spawning mob ID33: 800.0hp, 0.8spd
02:24:33,857 main DEBUG Spawning mob ID34: 900.0hp, 1.0spd
02:24:33,858 main DEBUG Spawning mob ID35: 2000.0hp, 0.5spd
02:24:34,125 main DEBUG Spawning mob ID36: 14.0hp, 1.0spd
02:24:34,126 main DEBUG Spawning mob ID37: 35.0hp, 0.9spd
02:24:34,126 main DEBUG Spawning mob ID38: 180.0hp, 0.6spd
02:24:34,127 main DEBUG Spawning mob ID39: 80.0hp, 1.8spd
02:24:34,128 main DEBUG Spawning mob ID40: 300.0hp, 0.9spd
02:24:34,128 main DEBUG Spawning mob ID41: 300.0hp, 1.25spd
02:24:34,128 main DEBUG Spawning mob ID42: 400.0hp, 1.0spd
02:24:34,129 main DEBUG Spawning mob ID43: 120.0hp, 0.9spd
02:24:34,129 main DEBUG Spawning mob ID44: 900.0hp, 0.5spd
02:24:34,130 main DEBUG Spawning mob ID45: 800.0hp, 0.8spd
02:24:34,130 main DEBUG Spawning mob ID46: 900.0hp, 1.0spd
02:24:34,131 main DEBUG Spawning mob ID47: 2000.0hp, 0.5spd
02:24:34,383 main DEBUG Spawning mob ID48: 14.0hp, 1.0spd
02:24:34,384 main DEBUG Spawning mob ID49: 35.0hp, 0.9spd
02:24:34,385 main DEBUG Spawning mob ID50: 180.0hp, 0.6spd
02:24:34,386 main DEBUG Spawning mob ID51: 80.0hp, 1.8spd
02:24:34,387 main DEBUG Spawning mob ID52: 300.0hp, 0.9spd
02:24:34,387 main DEBUG Spawning mob ID53: 300.0hp, 1.25spd
02:24:34,387 main DEBUG Spawning mob ID54: 400.0hp, 1.0spd
02:24:34,388 main DEBUG Spawning mob ID55: 120.0hp, 0.9spd
02:24:34,388 main DEBUG Spawning mob ID56: 900.0hp, 0.5spd
02:24:34,388 main DEBUG Spawning mob ID57: 800.0hp, 0.8spd
02:24:34,389 main DEBUG Spawning mob ID58: 900.0hp, 1.0spd
02:24:34,389 main DEBUG Spawning mob ID59: 2000.0hp, 0.5spd
02:24:34,657 main DEBUG Spawning mob ID60: 14.0hp, 1.0spd
02:24:34,657 main DEBUG Spawning mob ID61: 35.0hp, 0.9spd
02:24:34,658 main DEBUG Spawning mob ID62: 180.0hp, 0.6spd
02:24:34,659 main DEBUG Spawning mob ID63: 80.0hp, 1.8spd
02:24:34,659 main DEBUG Spawning mob ID64: 300.0hp, 0.9spd
02:24:34,659 main DEBUG Spawning mob ID65: 300.0hp, 1.25spd
02:24:34,660 main DEBUG Spawning mob ID66: 400.0hp, 1.0spd
02:24:34,660 main DEBUG Spawning mob ID67: 120.0hp, 0.9spd
02:24:34,660 main DEBUG Spawning mob ID68: 900.0hp, 0.5spd
02:24:34,661 main DEBUG Spawning mob ID69: 800.0hp, 0.8spd
02:24:34,661 main DEBUG Spawning mob ID70: 900.0hp, 1.0spd
02:24:34,661 main DEBUG Spawning mob ID71: 2000.0hp, 0.5spd
02:24:34,923 main DEBUG Spawning mob ID72: 14.0hp, 1.0spd
02:24:34,923 main DEBUG Spawning mob ID73: 35.0hp, 0.9spd
02:24:34,924 main DEBUG Spawning mob ID74: 180.0hp, 0.6spd
02:24:34,924 main DEBUG Spawning mob ID75: 80.0hp, 1.8spd
02:24:34,924 main DEBUG Spawning mob ID76: 300.0hp, 0.9spd
02:24:34,925 main DEBUG Spawning mob ID77: 300.0hp, 1.25spd
02:24:34,925 main DEBUG Spawning mob ID78: 400.0hp, 1.0spd
02:24:34,926 main DEBUG Spawning mob ID79: 120.0hp, 0.9spd
02:24:34,926 main DEBUG Spawning mob ID80: 900.0hp, 0.5spd
02:24:34,927 main DEBUG Spawning mob ID81: 800.0hp, 0.8spd
02:24:34,927 main DEBUG Spawning mob ID82: 900.0hp, 1.0spd
02:24:34,927 main DEBUG Spawning mob ID83: 2000.0hp, 0.5spd
02:24:35,190 main DEBUG Spawning mob ID84: 14.0hp, 1.0spd
02:24:35,190 main DEBUG Spawning mob ID85: 35.0hp, 0.9spd
02:24:35,191 main DEBUG Spawning mob ID86: 180.0hp, 0.6spd
02:24:35,192 main DEBUG Spawning mob ID87: 80.0hp, 1.8spd
02:24:35,192 main DEBUG Spawning mob ID88: 300.0hp, 0.9spd
02:24:35,192 main DEBUG Spawning mob ID89: 300.0hp, 1.25spd
02:24:35,193 main DEBUG Spawning mob ID90: 400.0hp, 1.0spd
02:24:35,193 main DEBUG Spawning mob ID91: 120.0hp, 0.9spd
02:24:35,194 main DEBUG Spawning mob ID92: 900.0hp, 0.5spd
02:24:35,195 main DEBUG Spawning mob ID93: 800.0hp, 0.8spd
02:24:35,195 main DEBUG Spawning mob ID94: 900.0hp, 1.0spd
02:24:35,196 main DEBUG Spawning mob ID95: 2000.0hp, 0.5spd
02:24:35,470 main DEBUG Spawning mob ID96: 14.0hp, 1.0spd
02:24:35,471 main DEBUG Spawning mob ID97: 35.0hp, 0.9spd
02:24:35,471 main DEBUG Spawning mob ID98: 180.0hp, 0.6spd
02:24:35,471 main DEBUG Spawning mob ID99: 80.0hp, 1.8spd
02:24:35,472 main DEBUG Spawning mob ID100: 300.0hp, 0.9spd
02:24:35,472 main DEBUG Spawning mob ID101: 300.0hp, 1.25spd
02:24:35,472 main DEBUG Spawning mob ID102: 400.0hp, 1.0spd
02:24:35,473 main DEBUG Spawning mob ID103: 120.0hp, 0.9spd
02:24:35,473 main DEBUG Spawning mob ID104: 900.0hp, 0.5spd
02:24:35,473 main DEBUG Spawning mob ID105: 800.0hp, 0.8spd
02:24:35,474 main DEBUG Spawning mob ID106: 900.0hp, 1.0spd
02:24:35,474 main DEBUG Spawning mob ID107: 2000.0hp, 0.5spd
02:24:35,703 main DEBUG Spawning mob ID108: 14.0hp, 1.0spd
